EquipID,System,EquipType,Point Name,Descriptor,Function,Point Type,Engineering Units,Slope,Intercept,Sensor Type,COV Trend,Collection,Panel Samples,PC Samples,COV Limit,Trend Interval 1,Collection 1,Panel Samples 1,PC Days 1,Trend Interval 2,Collection 2,Panel Samples 2,PC Days 2,Trend Interval 3,Collection 3,Panel Samples 3,PC Days 3,Trend Interval 4,Collection 4,Panel Samples 4,PC Days 4,EquipRef,Display Mode,BLN Type,BLN Sys Name,Node Identifer,Device Sys Name,BACnet Object type,BACnet Object Instance,BACnet Object Name,BACnet Device Instance,Address Type DHCP?,IP address,UDP port,BACnet network,MSTP Address,MSTP network,Apogee Pt type,Virtual,IP Port,Insight Node Number,FLN Device Sys Name,LocalRef,AppInstanceID,Medium,Memo
vav.235,Air Distribution,VAV Box,BSHC.VAV.235:VLV1 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.235:VLV1 POS,1770131,Static,10.27.72.11,47808,1,BACD:31,17701,LAO,NO,5033,100000,BSHC.VAV.235,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:AIR VOLUME,,Terminal Unit Airflow,LAI,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.241:AIR VOLUME,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAI,NO,5033,100000,BSHC.VAV.241,,,VAV Box Air Volume,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:AUX TEMP AI3,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.241:AUX TEMP AI3,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAI,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CAL AIR,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:CAL AIR,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CHK OUT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:CHK OUT,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CHK STATUS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CHK STATUS,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CLG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CLG MAX,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CLG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CLG MIN,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CLG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CLG LOOPOUT,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CTL MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CTL MAX,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CTL STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CTL STPT,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CTL TEMP,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CTL TEMP,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:CTLR ADDRESS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:CTLR ADDRESS,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DAY.NGT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:DAY.NGT,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DI 2,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.241:DI 2,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDI,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DI 3,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.241:DI 3,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDI,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DMPR COMD,,Terminal Unit Damper Command,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:DMPR COMD,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,VAV Box Damper Command,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DMPR POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:DMPR POS,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DO 5,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:DO 5,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:DUCT AREA,,,LAO,ft2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:DUCT AREA,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:FLOW COEFF,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:FLOW COEFF,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:FLOW STPT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:FLOW STPT,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:HEAT.COOL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:HEAT.COOL,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:HTG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:HTG MAX,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:HTG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:HTG MIN,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:HTG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:HTG LOOPOUT,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:MTR SETUP,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:MTR SETUP,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:NGT OVRD,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:NGT OVRD,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:RM STPT DIAL,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.241:RM STPT DIAL,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAI,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:RM STPT MAX,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:RM STPT MAX,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:RM STPT MIN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:RM STPT MIN,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:ROOM TEMP,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.241:ROOM TEMP,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAI,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:STPT DIAL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.241:STPT DIAL,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LDO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:VLV1 COMD,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:VLV1 COMD,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.241,Air Distribution,VAV Box,BSHC.VAV.241:VLV1 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.241:VLV1 POS,1770132,Static,10.27.72.11,47808,1,BACD:32,17701,LAO,NO,5033,100000,BSHC.VAV.241,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:AIR VOLUME,,Terminal Unit Airflow,LAI,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.242:AIR VOLUME,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAI,NO,5033,100000,BSHC.VAV.242,,,VAV Box Air Volume,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:AUX TEMP AI3,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.242:AUX TEMP AI3,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAI,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CAL AIR,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:CAL AIR,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CHK OUT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:CHK OUT,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CHK STATUS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CHK STATUS,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CLG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CLG MAX,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CLG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CLG MIN,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CLG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CLG LOOPOUT,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CTL MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CTL MAX,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CTL STPT,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CTL STPT,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CTL TEMP,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CTL TEMP,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:CTLR ADDRESS,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:CTLR ADDRESS,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DAY.NGT,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:DAY.NGT,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DI 2,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.242:DI 2,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDI,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DI 3,,,LDI,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,3,4194303,BSHC.VAV.242:DI 3,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDI,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DMPR COMD,,Terminal Unit Damper Command,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:DMPR COMD,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,VAV Box Damper Command,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DMPR POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:DMPR POS,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DO 5,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:DO 5,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:DUCT AREA,,,LAO,ft2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:DUCT AREA,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:FLOW COEFF,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:FLOW COEFF,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:FLOW STPT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:FLOW STPT,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:HEAT.COOL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:HEAT.COOL,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:HTG MAX,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:HTG MAX,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:HTG MIN,,,LAO,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:HTG MIN,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:HTG LOOPOUT,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:HTG LOOPOUT,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:MTR SETUP,,,LAO,""" """,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:MTR SETUP,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:NGT OVRD,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:NGT OVRD,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:RM STPT DIAL,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.242:RM STPT DIAL,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAI,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:RM STPT MAX,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:RM STPT MAX,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:RM STPT MIN,,,LAO,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:RM STPT MIN,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:ROOM TEMP,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.242:ROOM TEMP,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAI,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:STPT DIAL,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.242:STPT DIAL,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LDO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:VLV1 COMD,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:VLV1 COMD,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.242,Air Distribution,VAV Box,BSHC.VAV.242:VLV1 POS,,,LAO,PCT,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,1,4194303,BSHC.VAV.242:VLV1 POS,1770155,Static,10.27.72.11,47808,1,BACD:55,17701,LAO,NO,5033,100000,BSHC.VAV.242,,,,
vav.245,Air Distribution,VAV Box,BSHC.VAV.245:AIR VOLUME,,Terminal Unit Airflow,LAI,ft3/m,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.245:AIR VOLUME,1770146,Static,10.27.72.11,47808,1,BACD:46,17701,LAI,NO,5033,100000,BSHC.VAV.245,,,VAV Box Air Volume,
vav.245,Air Distribution,VAV Box,BSHC.VAV.245:AUX TEMP AI3,,,LAI,DEG F,1,0,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,0,4194303,BSHC.VAV.245:AUX TEMP AI3,1770146,Static,10.27.72.11,47808,1,BACD:46,17701,LAI,NO,5033,100000,BSHC.VAV.245,,,,
vav.245,Air Distribution,VAV Box,BSHC.VAV.245:CAL AIR,,,LDO,""" """,,,,,,,,,,,,,,,,,,,,,,,,,,,BACnet,GATEWAY,17701,BSHCAHU01PXCM,4,4194303,BSHC.VAV.245:CAL AIR,1770146,Static,10.27.72.11,47808,1,BACD:46,17701,LDO,NO,5033,100000,BSHC.VAV.245,,,,
